Source,Target
CCND1,ESR1
BRCA1,ESR1
ESR1,BRCA1
ESR1,CCND1
CREBBP,IRF3
IRF3,CREBBP
ACE2,ACE2
IRF3,IRF3
TRAF3,MAVS
MAVS,TMEM173
TRAF3,TMEM173
TRAF3,TBK1
TMEM173,TBK1
TMEM173,IRF3
DDX58,TRIM25
DDX58,TRIM25
RCHY1,CAMK2D
RPAP3,RUVBL1
RPAP3,RUVBL2
RPAP3,WDR92
RPAP3,URI1
RPAP3,PDRG1
RPAP3,PFDN6
RPAP3,PFDN2
RPAP3,UXT
RPAP3,POLR2E
URI1,UXT
URI1,PFDN6
URI1,POLR2E
URI1,PDRG1
URI1,PFDN2
URI1,WDR92
URI1,PIH1D1
URI1,RUVBL1
URI1,RUVBL2
URI1,RPAP3
PPP1CA,POLR2E
PPP1CA,RUVBL1
PPP1CA,PDRG1
PPP1CA,PFDN2
PPP1CA,PFDN6
PPP1CA,PIH1D1
PPP1CA,WDR92
PPP1CA,URI1
PIH1D1,PDRG1
PIH1D1,PFDN2
PIH1D1,PFDN6
PIH1D1,POLR2E
PIH1D1,RPAP3
PIH1D1,RUVBL1
PIH1D1,RUVBL2
PIH1D1,URI1
PIH1D1,UXT
PIH1D1,WDR92
UXT,PDRG1
UXT,PFDN2
UXT,PFDN6
UXT,PIH1D1
UXT,POLR2E
UXT,RPAP3
UXT,RUVBL1
UXT,RUVBL2
UXT,URI1
UXT,WDR92
TRAF6,PYCARD
CREBBP,MAPT
E,AP3B1
E,BRD4
E,BRD2
E,CWC27
E,ZC3H18
E,SLC44A2
M,PMPCB
M,YIF1A
M,ATP1B1
M,ACADM
M,ETFA
M,STOM
M,GGCX
M,ATP6V1A
M,PSMD8
M,REEP5
M,PMPCA
M,ANO6
M,PITRM1
M,SLC30A9
M,FASTKD5
M,SLC30A7
M,TUBGCP3
M,ADCK4
M,SAAL1
M,REEP6
M,INTS4
M,SLC25A21
M,TUBGCP2
M,TARS2
M,RTN4
M,FAM8A1
M,AASS
M,AKAP8L
M,AAR2
M,BZW2
N,RRP9
N,PABPC1
N,CSNK2A2
N,CSNK2B
N,G3BP1
N,PABPC4
N,LARP1
N,FAM98A
N,SNIP1
N,UPF1
N,MOV10
N,G3BP2
N,DDX21
N,RBM28
N,RPL36
S,GOLGA7
S,ZDHHC5
nsp1,POLA1
nsp1,PRIM1
nsp1,PRIM2
nsp1,POLA2
nsp1,COLGALT1
nsp1,PKP2
nsp10,AP2A2
nsp10,GFER
nsp10,ERGIC1
nsp10,AP2M1
nsp10,GRPEL1
nsp11,TBCA
nsp12,SBNO1
nsp12,BCKDK
nsp12,AKAP8
nsp12,MYCBP2
nsp12,SLU7
nsp12,RIPK1
nsp12,UBAP2L
nsp12,TYSND1
nsp12,PDZD11
nsp12,PRRC2B
nsp12,UBAP2
nsp12,ZNF318
nsp12,CRTC3
nsp12,USP54
nsp12,ZC3H7A
nsp12,LARP4B
nsp12,RBM41
nsp12,TCF12
nsp12,PPIL3
nsp12,PLEKHA5
nsp13,TBKBP1
nsp13,CIT
nsp13,HSBP1
nsp13,PCNT
nsp13,FGFR1OP
nsp13,PRKAR2A
nsp13,PRKACA
nsp13,PRKAR2B
nsp13,RDX
nsp13,CENPF
nsp13,TLE1
nsp13,TLE3
nsp13,AES
nsp13,GOLGA3
nsp13,GOLGA2
nsp13,GOLGB1
nsp13,GRIPAP1
nsp13,CEP350
nsp13,PDE4DIP
nsp13,CEP135
nsp13,CEP68
nsp13,CNTRL
nsp13,ERC1
nsp13,GCC2
nsp13,CLIP4
nsp13,NIN
nsp13,CEP112
nsp13,MIPOL1
nsp13,USP13
nsp13,GCC1
nsp13,JAKMIP1
nsp13,CDK5RAP2
nsp13,AKAP9
nsp13,GORASP1
nsp13,FYCO1
nsp13,C1orf50
nsp13,CEP250
nsp13,TBK1
nsp13,HOOK1
nsp13,NINL
nsp14,GLA
nsp14,IMPDH2
nsp14,SIRT5
nsp15,NUTF2
nsp15,ARF6
nsp15,RNF41
nsp2,SLC27A2
nsp2,EIF4E2
nsp2,POR
nsp2,RAP1GDS1
nsp2,KIAA1033
nsp2,FKBP15
nsp2,GIGYF2
nsp4,IDE
nsp4,TIMM10
nsp4,ALG11
nsp4,NUP210
nsp4,C19orf52
nsp4,DNAJC11
nsp4,TIMM10B
nsp4,TIMM9
nsp5,HDAC2
nsp5,GPX1
nsp5,TRMT1
nsp6,ATP5L
nsp6,ATP6AP1
nsp6,SIGMAR1
nsp6,ATP13A3
nsp7,AGPS
nsp7,CYB5B
nsp7,ACSL3
nsp7,CYB5R3
nsp7,RALA
nsp7,COMT
nsp7,RAB5C
nsp7,RAB7A
nsp7,RAB8A
nsp7,RAB2A
nsp7,RAB10
nsp7,RAB14
nsp7,RHOA
nsp7,RAB1A
nsp7,GNB1
nsp7,GNG5
nsp7,LMAN2
nsp7,MOGS
nsp7,TOR1AIP1
nsp7,MARC1
nsp7,QSOX2
nsp7,HS2ST1
nsp7,NDUFAF2
nsp7,SCCPDH
nsp7,SCARB1
nsp7,NAT14
nsp7,DCAKD
nsp7,FAM162A
nsp7,DNAJC19
nsp7,VIMP
nsp7,PTGES2
nsp7,RAB18
nsp8,MPHOSPH10
nsp8,SRP72
nsp8,ATE1
nsp8,WHSC1
nsp8,SRP19
nsp8,SRP54
nsp8,MRPS25
nsp8,DDX10
nsp8,LARP7
nsp8,MEPCE
nsp8,NGDN
nsp8,EXOSC8
nsp8,NARS2
nsp8,NOL10
nsp8,CCDC86
nsp8,SEPSECS
nsp8,EXOSC5
nsp8,EXOSC3
nsp8,AATF
nsp8,HECTD1
nsp8,MRPS2
nsp8,MRPS5
nsp8,EXOSC2
nsp8,MRPS27
nsp9,GTF2F2
nsp9,FBN1
nsp9,FBN2
nsp9,NUP214
nsp9,NUP62
nsp9,DCAF7
nsp9,EIF4H
nsp9,NUP54
nsp9,MIB1
nsp9,SPG20
nsp9,NEK9
nsp9,ZNF503
nsp9,NUP88
nsp9,NUPL1
nsp9,MAT2B
nsp9,FBLN5
ORF10,PPT1
ORF10,CUL2
ORF10,MAP7D1
ORF10,THTPA
ORF10,ZYG11B
ORF10,TIMM8B
ORF10,RBX1
ORF10,TCEB1
ORF10,TCEB2
ORF3a,HMOX1
ORF3a,TRIM59
ORF3a,ARL6IP6
ORF3a,VPS39
ORF3a,CLCC1
ORF3a,VPS11
ORF3a,SUN2
ORF3a,ALG5
ORF3b,STOML2
ORF6,NUP98
ORF6,RAE1
ORF6,MTCH1
ORF7a,HEATR3
ORF7a,MDN1
ORF8,PLOD2
ORF8,TOR1A
ORF8,STC2
ORF8,PLAT
ORF8,ITGB1
ORF8,CISD3
ORF8,COL6A1
ORF8,PVR
ORF8,DNMT1
ORF8,LOX
ORF8,PCSK6
ORF8,INHBE
ORF8,NPC2
ORF8,MFGE8
ORF8,OS9
ORF8,NPTX1
ORF8,KDELC1
ORF8,KDELC2
ORF8,ERO1LB
ORF8,PLD3
ORF8,FOXRED2
ORF8,CHPF
ORF8,PUSL1
ORF8,EMC1
ORF8,GGH
ORF8,ERLEC1
ORF8,IL17RA
ORF8,NGLY1
ORF8,HS6ST2
ORF8,SDF2
ORF8,NEU1
ORF8,GDF15
ORF8,TM2D3
ORF8,ERP44
ORF8,EDEM3
ORF8,SIL1
ORF8,POFUT1
ORF8,SMOC1
ORF8,PLEKHF2
ORF8,FBXL12
ORF8,UGGT2
ORF8,CHPF2
ORF8,ADAMTS1
ORF8,HYOU1
ORF8,FKBP7
ORF8,ADAM9
ORF8,FKBP10
ORF9b,SLC9A3R1
ORF9b,CHMP2A
ORF9b,CSDE1
ORF9b,TOMM70A
ORF9b,MARK3
ORF9b,MARK2
ORF9b,DPH5
ORF9b,DCTPP1
ORF9b,MARK1
ORF9b,PTBP2
ORF9b,BAG5
ORF9c,UBXN8
ORF9c,GPAA1
ORF9c,WFS1
ORF9c,ABCC1
ORF9c,F2RL1
ORF9c,SCAP
ORF9c,DPY19L1
ORF9c,TMEM97
ORF9c,SLC30A6
ORF9c,TAPT1
ORF9c,ERMP1
ORF9c,NLRX1
ORF9c,FAM134C
ORF9c,PIGO
ORF9c,FAR2
ORF9c,ECSIT
ORF9c,ALG8
ORF9c,TMEM39B
ORF9c,GHITM
ORF9c,ACAD9
ORF9c,NDFIP2
ORF9c,BCS1L
ORF9c,NDUFAF1
ORF9c,TMED5
ORF9c,NDUFB9
ORF9c,PIGS
ACE2,S
ACE2,ACE2
ACE2,SLC6A19
ACE2,SLC6A19
S,ACE2
S,ACE2
S,ACE2
S,ACE2
S,ACE2
S,ACE2
S,ACE2
E,BCL2L1
S,ACE2
S,ACE2
S,DPP4
nsp13ab,RYBP
nsp1ab,PPIA
nsp8ab,NOMO3
nsp1ab,FKBP1A
nsp1ab,PPIG
ORF9b,MARK3
nsp1ab,PPIH
nsp1ab,RCAN3
ORF14,HGS
ORF8a,BAG6
nsp7ab,DDAH2
ORF7b,CAMLG
nsp12ab,CHMP2B
nsp12ab,C1orf162
nsp3ab,MKRN2
nsp12ab,TPSAB1
nsp14ab,SERPING1
nsp3ab,MKRN3
nsp9ab,CHMP2B
ORF9b,PSMA2
nsp9ab,RSRP1
nsp3ab,ZNF410
nsp12ab,POLR2B
nsp2ab,DEDD2
nsp14ab,DCTN2
nsp9ab,NPHP3
nsp12ab,TPSB2
ORF3b,DCTN2
nsp7ab,RNF128
nsp7ab,BAP1
ORF14,SERPING1
nsp7ab,ARL4D
nsp12ab,CCHCR1
nsp9ab,FAHD1
nsp8ab,BZW2
nsp7ab,NCOA5
ORF3b,SERPING1
ORF3b,ALB
nsp7ab,YWHAE
ORF7b,SERPING1
nsp13ab,MARK3
nsp9ab,ENO1
nsp13ab,MARK2
nsp3ab,ABHD17A
nsp12ab,PFDN5
ORF6,DCTN2
nsp7ab,MIF4GD
nsp12ab,NDUFA10
nsp9ab,C1orf162
nsp2ab,SERPING1
ORF7a,VKORC1
nsp1ab,LAS1L
ORF14,DCTN2
nsp5ab,FKBP1A
nsp8ab,H2AFY2
ORF9b,RPS20
nsp13ab,CHEK2
nsp8ab,TERF1
nsp6ab,ISLR
nsp12ab,TBCB
nsp4ab,NMB
nsp4ab,LAS1L
ORF3a,DCTN2
nsp12ab,MNAT1
nsp7ab,NAE1
nsp12ab,HOXC6
ORF3a,YWHAE
nsp8ab,SERPING1
nsp13ab,SERPING1
nsp7ab,PLEKHO1
nsp13ab,PPIA
nsp5ab,N4BP2L2
nsp5ab,XPA
nsp8ab,EIF4B
nsp5ab,C20orf27
nsp7ab,LCP1
ORF7a,SMOC1
ORF3a,PFDN5
ORF9b,RPS17
nsp2ab,NPHP3
ORF6,BRF1
ORF14,YAE1D1
nsp13ab,OCIAD2
nsp2ab,SLC46A3
nsp13ab,N4BP2L2
nsp1ab,PPIB
ACE2,S
ACE2,S
S,ACE2
S,BSG
BSG,S
BSG,S
S,BSG
BSG,S
ACE2,ACE2
ACE2,SLC6A19
S,ACE2
ACE2,S
ACE2,SLC6A19
ACE2,DEFA5
ACE2,S
ACE2,S
ACE2,S
E,SDCBP
E,SDCBP
SDCBP,E
SDCBP,E
nsp3ab,RCHY1
nsp3ab,CAMK2D
nsp3ab,RCHY1
nsp3ab,RCHY1
nsp3ab,CAMK2D
nsp3ab,RCHY1
nsp3ab,CAMK2D
RCHY1,nsp3ab
RCHY1,TP53
nsp3ab,RCHY1
ORF3b,RUNX1
ORF3b,RUNX1
RUNX1,ORF3b
ORF3b,RUNX1
MAPK1,RUNX1
CDK2,CCNE1
CDK2,CCNA2
CDK2,HIST1H1A
CDK4,HIST1H1A
CCND1,CDK4
CCND1,CDKN1B
N,CDK4
N,CCND1
N,CDK2
N,CCNA2
N,NPM1
N,NPM1
NPM1,N
N,NPM1
CDK2,NPM1
S,ACE2
S,ACE2
ORF8b,NLRP3
NLRP3,ORF8b
S,ACE2
S,ACE2
S,ACE2
S,SFTPD
M,IKBKB
IRF3,IRF3
ORF6,NMI
ORF6,SNAPIN
ORF6,RNF123
ORF6,UBQLN1
ORF6,DNAJB1
ORF6,PKD1
ORF6,TIAM1
ORF6,FRY
ORF6,NMI
N,PRKRA
PRKRA,N
PRKRA,DDX58
PRKRA,IFIH1
N,TRIM25
N,TRIM25
N,TRIM25
TRIM25,N
TRIM25,N
nsp3ab,IRF3
IRF3,nsp3ab
TMEM173,TMEM173
DDX58,TMEM173
MAVS,TMEM173
IKBKE,TMEM173
HNRNPA1,N
HNRNPA1,N
ORF7a,SGTA
SGTA,ORF7a
SGTA,ORF7a
ORF7a,SGTA
S,ACE2
FURIN,S
TMPRSS2,S
TMPRSS2,S
FURIN,S
FURIN,S
TMPRSS2,S
ACE2,S
ACE2,VIM
ACE2,VIM
S,VIM
S,VIM
C11orf74,POLR2A
C11orf74,BTF3
nsp10ab,ND4L
nsp10ab,COX2
nsp10ab,BTF3
nsp10ab,ATF5
nsp10ab,C11orf74
nsp10ab,COX2
CASP3,N
CASP6,N
S,ACE2
S,ACE2
TRAF2,ORF3a
TRAF3,ORF3a
TRAF6,ORF3a
PYCARD,ORF3a
PYCARD,ORF3a
TRAF3,ORF3a
S,ACE2
ACE2,S
ACE2,S
S,ACE2
E,MPP5
MPP5,E
E,MPP5
E,MPP5
MPP5,CRB3
MPP5,E
nsp1ab,DIDO1
nsp1ab,USP7
nsp1ab,CKAP5
nsp1ab,RFC2
nsp1ab,CPNE3
nsp1ab,SNRNP48
nsp1ab,RPP38
nsp2ab,GIGYF2
nsp2ab,PHB
nsp2ab,EIF4E2
nsp2ab,VDAC1
nsp2ab,STOML2
nsp2ab,PHB2
nsp2ab,EIF3M
nsp2ab,PCM1
nsp2ab,SLC1A5
nsp2ab,SPEN
nsp2ab,KMT2B
nsp2ab,PHB
nsp2ab,PHB2
nsp14ab,DDX1
SMAD3,N
N,SMAD3
SMAD3,SMAD4
SMAD3,EP300
nsp5ab,ATP6V1G1
N,PPIA
N,PPIA
nsp3ab,IRF3
nsp3ab,IKBKE
nsp3ab,TBK1
nsp3ab,TRAF3
nsp3ab,TMEM173
nsp3ab,UBC
M,DDX58
M,TRAF3
M,TBK1
M,IKBKE
DDX58,M
TRAF3,M
TBK1,M
IKBKE,M
M,TRAF3
TMPRSS2,S
TMPRSS2,ACE2
TMPRSS11A,ACE2
TMPRSS11D,ACE2
TMPRSS2,ACE2
ACE2,TMPRSS2
ACE2,S
ACE2,CALM1
ACE2,S
KPNA1,STAT1
KPNA1,STAT2
KPNA2,ORF6
KPNA2,ORF6
KPNA2,ORF6
KPNA2,KPNB1
KPNA1,KPNB1
CD209,S
BCL2L1,ORF7a
BCL2L2,ORF7a
MCL1,ORF7a
BCL2A1,ORF7a
nsp3,UBC
nsp3ab,UBC
nsp3ab,UBC
nsp3,UBC
S,CEACAM5
S,CEACAM5
CEACAM5,S
S,ACE2
ACE2,S
ACE2,S
CTSL,S
ACE2,S
ACE2,S
S,ACE2
TMPRSS11D,S
N,GSK3A
N,GSK3B
GSK3A,N
GSK3B,N
S,CANX
S,KRT8
S,KRT19
S,ACTB
S,CANX
CANX,S
S,CANX
ORF8a,ATF6
ATF6,ORF8a
ORF3a,STAT3
ACE2,S
nsp3ab,IRF3
ORF7a,ITGAL
ORF8a,UBC
ORF8b,UBC
ORF9b,XPO1
S,ACE2
ACE2,S
S,HSPA5
HSPA5,S
ORF3a,CAV1
ORF3a,CAV1
ORF3a,CAV1
S,DPP4
DPP4,S
S,DPP4
nsp3ab,UBC
nsp3ab,ISG15
nsp3ab,ISG15
S,ACE2
ACE2,ACE2
ACE2,S
S,CD209
S,CLEC10A
S,CD33
S,SIGLEC9
S,SIGLEC10
ACE2,S
S,ACE2
S,ACE2
S,ACTG1
E,UFD1L
E,NPLOC4
E,RAB34
E,C10orf35
